"","pop","tree","branch","Diameter","Length","LA","Leaf_num","Wet_mass","partially_rehydrated","notes","Al_As","DW_Leaf","DW_stem","LDMC","LMA","LMF","notes2","burned","pop.newcode","leafsize","ml_ms"
"102","SJR","372",2,2,5.2,57.891,8,1.706,"no","tons of scallop galls",18.4278211,0.9109,0.2857,0.533939039,0.015734743,0.761240181,"","","SJR",7.236375,3.18830941547077
"103","SJR","372",3,2.84,13.3,121.84,19,3.59,"no","tons of scallop galls",19.23428902,1.9499,1.0003,0.543147632,0.016003775,0.660938241,"","","SJR",6.41263157894737,1.94931520543837
"104","SJR","376",1,2.415,4.6,91.211,10,2.276,"no","tons of scallop galls",19.91296243,1.3029,0.3029,0.57245167,0.014284461,0.811371279,"","","SJR",9.1211,4.30141961043249
"105","SJR","376",2,1.77,3.7,50.89,8,1.187,"no","tons of scallop galls",20.68277681,0.6479,0.212,0.545829823,0.012731381,0.753459705,"","","SJR",6.36125,3.0561320754717
"106","SJR","376",3,2.91,9.3,100.122,14,2.434,"no","tons of scallop galls",15.05450449,1.3787,0.7988,0.566433854,0.0137702,0.63315729,"","","SJR",7.15157142857143,1.72596394591888
"107","SJR","375",1,1.715,1.91,78.623,6,2.463,"no","lots of herbivory",34.03645256,1.2126,0.0997,0.492326431,0.015422968,0.924026518,"","","SJR",13.1038333333333,12.1624874623872
"108","SJR","375",2,3.07,10.5,166.544,11,4.865,"no","lots of herbivory",22.49961918,2.4349,0.7158,0.50049332,0.01462016,0.772812391,"","","SJR",15.1403636363636,3.40164850516904
"109","SJR","375",3,2.515,4.6,116.09,9,3.45,"no","lots of herbivory",23.36908777,1.7138,0.2502,0.496753623,0.014762684,0.872606925,"","","SJR",12.8988888888889,6.84972022382094
"110","SJR","374",1,3.27,14.2,122.375,14,3.723,"no","tons of scallop galls",14.57203235,1.9921,1.1414,0.535079237,0.016278652,0.63574278,"","","SJR",8.74107142857143,1.74531277378658
"111","SJR","374",2,2.05,5,66.112,8,1.856,"no","tons of scallop galls",20.03067113,0.9945,0.2722,0.535829741,0.015042655,0.785110918,"","","SJR",8.264,3.65356355620867
"112","SJR","374",3,2.37,11.6,156.375,15,4.527,"no","tons of scallop galls",35.44814863,2.3993,1.3203,0.529997791,0.015343245,0.645042478,"","","SJR",10.425,1.81723850640006
"113","SJR","377",1,1.47,2.9,40.291,6,0.903,"no","brown",23.7408522,0.5329,0.0709,0.590143965,0.013226279,0.882577012,"","","SJR",6.71516666666667,7.51622002820874
"114","SJR","377",2,1.38,2.07,28.766,7,0.704,"no","brown",19.23287596,0.4142,0.0683,0.588352273,0.014398943,0.858445596,"","","SJR",4.10942857142857,6.06442166910688
"115","SJR","377",3,1.74,4.4,24.601,6,0.75,"no","brown",10.34611239,0.4216,0.1449,0.562133333,0.017137515,0.744218888,"","","SJR",4.10016666666667,2.9095928226363
"116","LPD","1",1,1.53,1.75,35.607,6,1.054,"no","",19.36758409,0.5351,0.0739,0.507685009,0.015027944,0.87865353,"","yes","LPD",5.9345,7.24086603518268
"117","LPD","1",2,1.87,1.87,48.77,9,1.566,"no","",17.75793532,0.7958,0.1078,0.508173691,0.016317408,0.880699425,"","yes","LPD",5.41888888888889,7.3821892393321
"118","LPD","1",3,1.53,1.53,43.775,8,1.424,"no","",23.81037418,0.7272,0.0694,0.510674157,0.016612222,0.912879739,"","yes","LPD",5.471875,10.478386167147
"119","LPD","2",1,2.26,3,70.9,6,2.141,"no","",17.67470949,1.1412,0.1917,0.533021952,0.01609591,0.856178258,"","yes","LPD",11.8166666666667,5.95305164319249
"120","LPD","2",2,1.895,2.77,50.248,6,1.509,"no","",17.81653638,0.8255,0.1308,0.547051027,0.016428515,0.863222838,"","yes","LPD",8.37466666666667,6.3111620795107
"121","LPD","2",3,2.41,6.1,109.8,10,3.5,"no","",24.07083646,1.8677,0.3615,0.533628571,0.017010018,0.837834201,"","yes","LPD",10.98,5.16652835408022
"122","LPD","3",1,1.365,1.72,22.4,5,0.71,"no","",15.30754846,0.3499,0.0767,0.492816901,0.015620536,0.820206282,"","yes","LPD",4.48,4.5619295958279
"123","LPD","3",2,2.17,2.27,39.917,7,1.319,"no","",10.79347658,0.656,0.1639,0.497346475,0.016434101,0.800097573,"","yes","LPD",5.70242857142857,4.00244051250763
"124","LPD","3",3,2.7,5.75,64.216,12,1.932,"no","",11.21601674,1.0189,0.3997,0.527380952,0.015866762,0.718243339,"","yes","LPD",5.35133333333333,2.54916187140355
"125","LPD","4",1,1.78,2.12,31.36,8,0.877,"no","",12.60256589,0.4621,0.082,0.52690992,0.014735332,0.849292409,"","yes","LPD",3.92,5.63536585365854
"126","LPD","4",2,2.32,2.9,52.829,8,1.68,"no","",12.49739071,0.8588,0.1808,0.511190476,0.016256223,0.826086957,"","yes","LPD",6.603625,4.75
"127","LPD","4",3,2.43,2.12,50.447,8,1.566,"no","",10.8779166,0.8147,0.0975,0.520242656,0.016149622,0.893115545,"","yes","LPD",6.305875,8.35589743589744
"128","LPD","5",1,2.3,3.8,77.1,7,2.449,"no","",18.55759247,1.2652,0.3083,0.516619028,0.016409857,0.804067366,"","yes","LPD",11.0142857142857,4.10379500486539
"129","LPD","5",2,2.38,3.7,58.834,7,1.78,"no","",13.22505203,0.9022,0.2082,0.506853933,0.01533467,0.8125,"","yes","LPD",8.40485714285714,4.33333333333333
"130","LPD","5",3,2.58,4.23,129.713,9,4.21,"no","",24.81229975,2.2318,0.3974,0.530118765,0.017205677,0.848851362,"","yes","LPD",14.4125555555556,5.61600402617011
"131","LYN","1",1,2.49,5,76.113,7,2.319,"no","blotchy",15.63086719,1.1799,0.3765,0.508796895,0.015501951,0.758095605,"","yes","LYN",10.8732857142857,3.13386454183267
"132","LYN","1",2,2.5,5.9,95.291,8,2.714,"no","blotchy",19.41309565,1.3648,0.4936,0.502873987,0.014322444,0.734395179,"","yes","LYN",11.911375,2.76499189627229
"133","LYN","1",3,2.4,2.13,106.9,6,3.379,"no","blotchy",23.63078501,1.6911,0.2562,0.500473513,0.015819457,0.868433215,"","yes","LYN",17.8166666666667,6.60070257611241
"134","LYN","2",1,1.735,2.77,56.877,8,1.557,"no","lots of schmutz",24.05806258,0.8233,0.1426,0.528773282,0.014475095,0.852365669,"","yes","LYN",7.109625,5.77349228611501
"135","LYN","2",2,1.63,7.9,88.262,14,2.6,"no","lots of schmutz",42.29816069,1.3493,0.4252,0.518961538,0.01528744,0.760383207,"","yes","LYN",6.30442857142857,3.17333019755409
"136","LYN","2",3,1.76,4.4,66.624,10,1.81,"no","lots of schmutz",27.38598054,0.9162,0.2462,0.506187845,0.013751801,0.788196834,"","yes","LYN",6.6624,3.72136474411048
"137","LYN","3",1,2.77,6.2,103.279,9,3.147,"no","",17.13860278,1.616,0.4407,0.513504925,0.015646937,0.785724705,"","yes","LYN",11.4754444444444,3.666893578398
"138","LYN","3",2,3.97,12.4,130.4,13,4.003,"no","",10.5346353,2.0541,1.1265,0.513140145,0.015752301,0.645821543,"","yes","LYN",10.0307692307692,1.82343541944075
"139","LYN","3",3,2.46,6.2,44.74,7,1.226,"no","",9.41344724,0.6417,0.2879,0.523409462,0.01434287,0.690296902,"","yes","LYN",6.39142857142857,2.22889892323724
